input_catalog_id,input_catalog_name,input_catalog_description
0,"simulated","simulated catalog"
1,"gaia_dr1","Gaia Data Release 1"
2,"gaia_dr2","Gaia Data Release 2"
3,"gaia_edr3","Gaia Early Data Release 3"
4,"gaia_dr3","Gaia Data Release 3"
5,"hscssp_pdr1_wide","HSC-SSP Public Data Release 1 (Wide)"
6,"hscssp_pdr1_dud","HSC-SSP Public Data Release 1 (Deep+UltraDeep)"
7,"hscssp_pdr2_wide","HSC-SSP Public Data Release 2 (Wide)"
8,"hscssp_pdr2_dud","HSC-SSP Public Data Release 2 (Deep+UltraDeep)"
9,"hscssp_pdr3_wide","HSC-SSP Public Data Release 3 (Wide)"
10,"hscssp_pdr3_dud","HSC-SSP Public Data Release 3 (Deep+UltraDeep)"
11,"hscssp_pdr4_wide","HSC-SSP Public Data Release 4 (Wide)"
12,"hscssp_pdr4_dud","HSC-SSP Public Data Release 4 (Deep+UltraDeep)"
13,"ps1_dr1","Pan-STARRS1 DR1"
14,"ps1_dr2","Pan-STARRS1 DR2"