proposal_id,group_id,pi_first_name,pi_last_name,pi_middle_name,rank,grade,allocated_time_total,allocated_time_lr,allocated_time_mr,proposal_category_id
S21B-EN01,o21001,Hirofumi,Okita,None,9.0,a,240000.0,,,1
S21B-EN16,o21016,Shintaro,Koshida,None,9.0,a,240000.0,,,1
S21B-EN99,o21999,Masato,Onodera,None,1.0,a,1.0,,,1
S21B-QN078,o21628,Takashi,Moriya,None,9.5,a,120000.0,,,1
S21B-TE037-KQ,o21150,George,Becker,None,9.5,a,60000.0,,,2
S21B-TE114-GQ,o21154,David,Sand,None,9.5,a,12000.0,,,3
S21B-UH006-A1Q,o21165,Lukas,Zalesky,M.,9.5,a,4800.0,,,4
S22A-EN16,o22016,Shintaro,Koshida,None,9.0,a,240000.0,,,1
S22B-EN16,o22016,Shintaro,Koshida,None,9.0,a,240000.0,,,1
S22B-EN16-CO,o22016,Kiyoto,Yabe,None,9.0,a,240000.0,,,1
S23A-EN16,o22016,Shintaro,Koshida,None,9.0,a,240000.0,,,1
S23A-QN900,o22016,Kiyoto,Yabe0,None,6.0,c,36000.0,,,1
S23A-QN901,o22016,Kiyoto,Yabe1,None,7.0,b,12000.0,,,1
S23A-QN902,o22016,Kiyoto,Yabe2,None,8.0,b,7200.0,,,1
S23A-QN903,o22016,Kiyoto,Yabe3,None,9.0,a,3600.0,,,1
S23B-QT901,,M.,Ishigaki,,10.0,A,595.5,319.5,276.0,1
S23B-QT902,,K.,Yabe,,8.8,A,1730.0,1730.0,0.0,1
S23B-QT903,,W.,He,,9.1,B,234.5,0.0,234.5,1
S23B-QT904,,M.,Tanaka,,8.2,B,62.25,0.0,62.25,1
S23B-QT905,,M.,Onodera,,7.5,B,5166.0,0.0,5166.0,1
S23B-QT906,,Y.,Moritani,,7.0,A,2542.25,2542.25,0.0,1
S23B-QT907,,J.,Eric,,6.5,C,2594.5,2594.5,0.0,1
S23B-QT908,,Y.,Takagi,,5.6,C,320.0,320.0,0.0,1
S24B-QT901,o00001,Sakurako,Okamoto,NaN,9.0,A,284.25,,284.25,1
S24B-QT902,o00002,Masayuki,Tanaka,NaN,8.5,B,951.0,,951.0,1
S24B-QT903,o00003,Tae-Soo,Pyo,NaN,8.5,B,3190.75,,3190.75,1
S24B-QT904,o00004,Akira,Arai,NaN,6.0,B,409.0,,409.0,1
S24B-QT905,o00005,Yuhei,Takagi,NaN,7.0,B,532.75,,532.75,1
S24B-QT906,o00006,Miho,Ishigaki,NaN,5.5,C,0.0,,,1
S24B-QT907,o00007,Naoyuki,Tamura,NaN,6.5,B,8140.5,8140.5,,1
S24B-QT908,o00008,Kiyoto,Yabe,NaN,8.0,B,707.75,707.75,,1
S24B-QT909,o00009,Eric,Jeschke,NaN,7.0,B,2567.75,2567.75,,1
S24B-QT910,o00010,Wanqiu,He,NaN,7.5,B,5307.25,5307.25,,1
S24B-QT911,o00011,Mao,Zhiying,NaN,10.0,A,5348.05,5348.05,,1
S24B-QT912,o00012,Yuki,Moritani,NaN,9.5,A,350.25,350.25,,1
S24B-QT913,o00013,Vera,Passegger,Maria,7.0,B,263.0,263.0,,1
S24B-QT914,o00014,Miho,Ishigaki,NaN,0.0,F,0.0,0.0,0.0,1